Rank,Name,Rating,Review Count,Address,phone Number,lat,long
1,Antojitos Las Delicias,5,49,1521 E 5th StWinston-Salem27101NC,(336) 499-0813,36.10064,-80.22605
2,Taqueria Los Juanes,5,31,373 Jonestown RdWinston-Salem27104NC ,(336) 768-2008,36.07421,-80.33575
3,El Rancho Taqueria,4.5,206,613 E Sprague StWinston-Salem27107NC,(336) 785-9112,36.06874,-80.22649
4,La Casa Lopez Mexican Grill,4.5,116,3028 Healy DrWinston-Salem27103NC,(336) 293-8983,36.07543,-80.30509
5,Arriba Villa Taqueria and Mexican Food,4.5,37,3040 University PkwyWinston-Salem27105NC,(336) 830-8125,36.12921,-80.26215
